
2664,-180,14416,-30,-65,217,29.85,1
2692,-108,14532,-41,-34,198,29.8,1
2528,-220,4304,-45,-47,214,29.8,1
2572,-68,14172,-36,-68,221,29.8,1
2652,-4,14396,-52,-79,210,29.89,1
2524,-120,14416,-26,-54,214,29.85,1
2640,-44,14424,-39,-68,183,29.8,1
2668,-92,14500,-30,-65,220,29.75,1
2624,-48,14508,-48,-67,192,29.8,1
2608,-156,14508,-36,-44,192,29.8,1
2556,-136,14484,-53,-64,215,29.75,1
2644,-40,14508,-26,-47,182,29.89,1
2656,-100,14328,-13,-61,215,29.71,1
2548,-76,14444,-51,-98,197,29.75,1
2628,-120,14476,-24,-68,208,29.85,1
2524,-60,14504,-29,-95,200,29.85,1
2704,-36,14368,-55,-37,242,29.8,1
2668,-152,14440,-24,-78,229,29.89,1
2644,-76,14320,-22,-66,178,29.75,1
2688,-148,14436,-17,-69,212,29.8,1
2604,-116,14448,-50,-37,224,29.8,1
2544,-136,14544,-56,-73,210,29.75,1
2528,-140,14388,-18,-74,204,29.75,1
2616,-20,14440,1,-57,196,29.71,1
2652,-144,14536,-35,-72,211,29.75,1
2682,-88,14464,-50,-47,215,29.8,1
2608,-36,14392,-15,-62,214,29.8,1
2660,-64,14420,-19,-66,194,29.8,1
2620,-88,14388,-17,-49,188,29.75,1
2720,-112,14392,-51,-55,202,29.75,1
2768,-9032,11520,-23,-82,214,30.08,2
2688,-9188,11668,-28,-63,217,30.04,2
2612,-9072,11748,8,-71,222,29.99,2
2816,-8996,11744,-26,-100,204,30.04,2
2752,-9128,11552,-22,-58,198,29.99,2
2768,-9080,11580,-32,-26,205,29.99,2
2820,-9132,11560,-17,-40,229,29.99,2
2728,-8956,11664,-1,-36,218,30.04,2
2700,-8884,11704,-57,-50,205,29.99,2
2732,-8904,11836,-18,-48,217,29.99,2
2632,-8912,11712,-20,-63,208,29.94,2
2748,-9036,11576,-52,-60,215,30.04,2
2792,-8992,11712,-23,-36,193,30.08,2
2700,-8908,11460,-11,-48,208,30.04,2
2752,-8976,11704,-34,-49,213,29.99,2
2704,-8968,11788,-10,-61,238,29.89,2
2708,-8908,11668,-22,-28,196,30.04,2
2736,-8928,11808,-16,-30,215,29.99,2
2840,-8972,11776,-10,-50,226,30.04,2
2760,-8928,11724,-30,-29,216,29.99,2
2752,-8876,11724,-23,-34,221,29.99,2
2624,-8812,11808,-20,-80,182,29.99,2
2712,-8964,11816,-33,-52,211,30.04,2
2756,-8884,11828,-26,-22,233,30.04,2
2840,-8932,11712,-20,-40,217,29.89,2
2796,-8932,11688,-49,-46,186,29.94,2
2716,-8832,11780,-24,-53,199,29.89,2
2708,-8888,11860,-29,-70,231,29.99,2
2840,-8932,11964,-23,-66,186,29.99,2
2728,-8892,11740,-33,-98,210,29.89,2
-15392,-136,1500,-31,-57,209,30.13,3
-15412,-4,1560,-44,-52,218,30.18,3
-15384,-140,1496,-57,-76,191,30.13,3
-15180,-28,1460,-8,-62,208,30.18,3
-15528,44,1784,-38,-58,206,30.13,3
-15492,56,1644,-30,-36,192,30.13,3
-15436,24,1620,-9,-34,220,30.18,3
-15484,44,1744,-34,-65,219,30.22,3
-15684,88,1688,-7,-109,201,30.13,3
-15516,88,1804,-13,-65,205,30.13,3
-15500,4,1708,-44,-61,204,30.13,3
-15348,-4,1620,-51,-50,185,30.08,3
-15340,20,1692,-66,-55,228,30.13,3
-15532,116,1520,-18,-106,193,30.13,3
-15396,40,1680,-5,-96,202,30.08,3
-15492,-28,1668,-49,-50,206,30.08,3
-15444,72,1564,-61,-45,189,30.08,3
-15552,12,1572,-35,-58,220,30.18,3
-15460,-76,1608,-34,-48,210,30.22,3
-15468,52,1572,-10,-74,217,30.08,3
-15408,-16,1548,-19,-44,196,30.04,3
-15596,-84,1480,-46,-50,177,30.08,3
-15656,-68,1620,-33,-89,165,30.18,3
-15452,-16,1600,-37,-88,193,30.22,3
-15440,4,1576,-35,-42,206,30.18,3
-15556,-16,1524,-44,-18,214,30.18,3
-15388,20,1672,-52,-33,204,30.18,3
-15624,-20,1556,-23,-90,176,30.13,3
-15404,56,1700,-46,-82,195,30.08,3
-15328,-104,1584,-30,-26,189,30.22,3
200,656,-18712,-77,-84,219,30.79,4
412,560,-18540,-12,-65,207,30.79,4
372,476,-18732,12,-32,235,30.88,4
244,516,-18808,-37,-53,196,30.84,4
160,460,-18664,-54,-3,215,30.84,4
304,544,-18696,-31,-89,212,30.84,4
228,580,-18812,-34,6,227,30.88,4
356,580,-18756,-26,-63,194,30.93,4
180,448,-18840,-7,-27,192,31.02,4
172,496,-18780,-62,-39,189,30.84,4
128,560,-18856,-56,-52,234,30.79,4
216,580,-18784,-24,-63,202,30.93,4
360,560,-18848,-3,-81,212,30.93,4
136,460,-18684,-18,-94,198,30.79,4
196,512,-18692,-42,-126,213,30.88,4
272,500,-18684,-34,-97,201,30.88,4
320,600,-18680,-3,-99,211,30.88,4
164,576,-18796,9,-70,204,30.98,4
212,436,-18868,-10,-16,199,30.84,4
280,648,-18744,-81,-64,201,30.93,4
284,612,-18776,-38,-21,226,30.84,4
244,580,-18820,-25,-65,226,30.88,4
348,532,-18784,13,-42,228,30.98,4
228,536,-18696,-26,-56,200,30.88,4
280,496,-18884,-33,-40,194,30.84,4
176,624,-18708,-49,-54,200,30.88,4
196,572,-18620,1,-87,233,30.98,4
268,472,-18740,-6,-52,199,30.88,4
168,600,-18876,-6,-100,175,30.93,4
124,544,-18764,-51,-16,189,30.88,4
